1	opcode_debug_name	Input	Output	output_format	formats	comment
403	aClass445_5412					
770	aClass445_4881					
813	aClass445_4626					
769	aClass445_4883					
178	aClass445_4884					
691	aClass445_4874					
393	aClass445_4886					
201	aClass445_5371					
59	aClass445_4888					
287	aClass445_4889					
142	aClass445_4890					
206	aClass445_4903					
189	aClass445_4892					
457	aClass445_4893					
690	aClass445_4894					
169	aClass445_4895					
961	aClass445_4896					
365	aClass445_4897					
366	aClass445_4898					
174	aClass445_4899					
190	aClass445_4668					
123	aClass445_4901					
489	aClass445_4902					
377	aClass445_5044					
104	aClass445_4904					
664	aClass445_5136					
158	aClass445_5441					
159	aClass445_4907					
84	aClass445_4908					
854	aClass445_4909					
1038	aClass445_4910					
451	aClass445_4911					
776	aClass445_4912					
681	aClass445_4913					
464	aClass445_5106					
237	aClass445_5135					
660	aClass445_5133					
774	aClass445_4743					
186	aClass445_5382					
346	aClass445_4919					
166	aClass445_4920	IIII	I	addCoordinate(%4, %3, %2, %1)	R	-
112	aClass445_5167					
0	aClass445_4922					
670	aClass445_4923					
146	aClass445_4924					
862	aClass445_4925					
938	aClass445_4792					
331	aClass445_4927					
311	aClass445_4928					
546	aClass445_4929					
268	aClass445_4930					
808	aClass445_4931					
821	aClass445_4932					
627	aClass445_4586					
847	aClass445_5504					
678	aClass445_4522					
37	aClass445_5254					
14	aClass445_4937					
467	aClass445_4938					
57	aClass445_4939					
628	aClass445_4594					
779	aClass445_4941					
736	aClass445_4845					
550	aClass445_5385					
981	aClass445_4944					
787	aClass445_4945					
429	aClass445_4946					
171	aClass445_4947					
126	aClass445_5171					
601	aClass445_4515					
714	aClass445_4949					
281	aClass445_5123					
968	aClass445_4952					
441	aClass445_4953					
526	aClass445_4940					
43	aClass445_4960					
1014	aClass445_4956					
1009	aClass445_5394					
733	aClass445_4958					
806	aClass445_4959					
193	aClass445_5114					
712	aClass445_4961					
324	aClass445_4962					
814	aClass445_4963					
790	aClass445_4964					
875	aClass445_4965					
196	aClass445_5165					
259	aClass445_4967					
817	aClass445_5513					
861	aClass445_4969					
986	aClass445_4970					
172	aClass445_4971					
634	aClass445_4972					
688	aClass445_5201					
912	aClass445_4974					
877	aClass445_4975					
68	aClass445_5263					
153	aClass445_4977					
83	aClass445_4544					
815	aClass445_4503					
151	aClass445_4980					
53	aClass445_4981					
962	aClass445_4982					
827	aClass445_4983					
495	aClass445_5269					
460	aClass445_4985					
216	aClass445_4986					
219	aClass445_4987					
745	aClass445_4988					
349	aClass445_4527					
249	aClass445_4990					
352	aClass445_5338					
626	aClass445_4992					
225	aClass445_4993					
586	aClass445_4994					
607	aClass445_4995					
914	aClass445_4791					
932	aClass445_4675					
503	aClass445_4998					
339	aClass445_4999					
411	aClass445_5000					
317	aClass445_5488					
980	aClass445_5002					
685	aClass445_5003					
498	aClass445_5004					
992	aClass445_5212					
389	aClass445_5006					
380	aClass445_5007					
361	aClass445_5008					
644	aClass445_5009					
640	aClass445_5010					
898	aClass445_5011					
553	aClass445_4750					
430	aClass445_5013					
373	aClass445_4598					
753	aClass445_4843					
214	aClass445_4526					
449	aClass445_5199					
239	aClass445_4860					
490	aClass445_5019					
545	aClass445_5020					
466	aClass445_5066					
491	aClass445_5158					
155	aClass445_5329					
381	aClass445_5024					
215	aClass445_5480					
252	aClass445_5026					
298	aClass445_5027					
181	aClass445_4623					
998	aClass445_5029					
212	aClass445_5030					
870	aClass445_4577					
487	aClass445_5032					
909	aClass445_5132					
1015	aClass445_5034					
110	aClass445_5035					
397	aClass445_5036					
939	aClass445_5037					
882	aClass445_5038					
207	aClass445_5039					
752	aClass445_4690					
897	aClass445_4800					
128	aClass445_5042					
1040	aClass445_5233					
283	aClass445_4745					
477	aClass445_5293					
384	aClass445_5046					
309	aClass445_4917					
764	aClass445_5048					
114	aClass445_5049					
901	aClass445_5148					
991	aClass445_5051					
715	aClass445_5393					
801	aClass445_5053					
271	aClass445_5475					
31	aClass445_5055					
221	aClass445_5056					
79	aClass445_4511					
819	aClass445_5058					
130	aClass445_4935					
944	aClass445_5060					
255	aClass445_5061					
958	aClass445_4519					
218	aClass445_5063					
1026	aClass445_5064					
686	aClass445_5065					
798	aClass445_4753					
228	aClass445_4502					
896	aClass445_5068					
105	aClass445_5088					
579	aClass445_5070					
399	aClass445_4807					
563	aClass445_5288					
137	aClass445_5073					
315	aClass445_4562					
121	aClass445_4738					
682	aClass445_5076					
869	aClass445_5077					
405	aClass445_5078					
953	aClass445_5045					
304	aClass445_4885					
722	aClass445_5081					
513	aClass445_4955					
921	aClass445_5083					
645	aClass445_5084					
881	aClass445_5085					
974	aClass445_4729					
567	aClass445_5087					
185	aClass445_4891					
730	aClass445_5164					
842	aClass445_5090					
455	aClass445_5416					
1005	aClass445_5092					
658	aClass445_5093					
910	aClass445_5094					
560	aClass445_4876					
1007	aClass445_4914					
918	aClass445_5097					
959	aClass445_5098					
917	aClass445_5347					
433	aClass445_5100					
270	aClass445_5101					
242	aClass445_5102					
235	aClass445_5103					
363	aClass445_5104					
720	aClass445_5105					
312	aClass445_4525					
857	aClass445_5107					
10	aClass445_5108					
254	aClass445_5109					
42	aClass445_5110					
718	aClass445_4688					
622	aClass445_4798					
481	aClass445_5113					
233	aClass445_5444					
940	aClass445_5115					
758	aClass445_5116					
880	aClass445_5069					
61	aClass445_5118					
923	aClass445_5119					
924	aClass445_5120					
1042	aClass445_5328					
72	aClass445_5339					
666	aClass445_4676					
372	aClass445_5124					
257	aClass445_5125					
988	aClass445_5250					
646	aClass445_5127					
535	aClass445_5128					
262	aClass445_5168					
34	aClass445_5130					
979	aClass445_4722					
416	aClass445_5308					
62	aClass445_4686					
785	aClass445_5134					
222	aClass445_5442					
597	aClass445_5473					
368	aClass445_4651					
417	aClass445_5138					
508	aClass445_5139					
762	aClass445_5140					
1039	aClass445_5080					
428	aClass445_4581					
198	aClass445_5143					
863	aClass445_5144					
266	aClass445_5323					
412	aClass445_5146					
468	aClass445_5147					
1035	aClass445_4758					
319	aClass445_5499					
73	aClass445_5150					
106	aClass445_5211					
600	aClass445_5152					
746	aClass445_5296					
90	aClass445_5154					
756	aClass445_5155					
501	aClass445_4593					
375	aClass445_5452					
55	aClass445_4809					
383	aClass445_5159	I	V	setWorldMapZoom(%1)	R	-
473	aClass445_5391					
354	aClass445_5161					
605	aClass445_5162	I	I	getWorldMapAtCoord(%1).getFileId()	R	-
772	aClass445_5163	I	O	getWorldMapArea(%1).getName()	R	-
533	aClass445_4607					
395	aClass445_5131					
261	aClass445_5145					
64	aClass445_4880					
60	aClass445_5221					
91	aClass445_4978					
768	aClass445_5170					
263	aClass445_4537					
387	aClass445_4550					
750	aClass445_5173					
705	aClass445_5174	I	V	worldMapRelatedCoordFunc1(%1)	R	-
592	aClass445_5175					
831	aClass445_5176					
109	aClass445_4887					
46	aClass445_5178					
17	aClass445_5179					
591	aClass445_5067					
44	aClass445_5181					
519	aClass445_4740					
272	aClass445_5183					
278	aClass445_5184					
51	aClass445_5185					
1023	aClass445_4751					
849	aClass445_5187					
799	aClass445_5188					
566	aClass445_5189					
828	aClass445_5190					
729	aClass445_5191					
934	aClass445_5169					
969	aClass445_5193					
955	aClass445_4681					
348	aClass445_5195					
514	aClass445_5205					
725	aClass445_5197					
1013	aClass445_5198					
162	aClass445_5196					
129	aClass445_5200					
20	aClass445_5071					
402	aClass445_5202					
149	aClass445_5203					
517	aClass445_5204					
378	aClass445_5516					
290	aClass445_5206					
485	aClass445_5207					
1024	aClass445_5208					
295	aClass445_5209					
421	aClass445_5210					
25	aClass445_4852					
69	aClass445_5527					
208	aClass445_5186					
76	aClass445_5214					
38	aClass445_5215					
996	aClass445_5216					
93	aClass445_5075					
587	aClass445_5218					
838	aClass445_4806					
136	aClass445_5220					
701	aClass445_5422					
388	aClass445_5222					
888	aClass445_4534					
809	aClass445_5031					
115	aClass445_5225					
984	aClass445_5226					
713	aClass445_5227					
565	aClass445_5156					
695	aClass445_5229					
478	aClass445_5230					
209	aClass445_5231					
236	aClass445_5232					
301	aClass445_5112					
338	aClass445_4572					
243	aClass445_4875					
144	aClass445_4730					
1022	aClass445_5237					
781	aClass445_5238					
434	aClass445_5239					
978	aClass445_5240					
721	aClass445_5041					
933	aClass445_5242					
392	aClass445_5243					
125	aClass445_5244					
100	aClass445_5245					
950	aClass445_4693					
865	aClass445_5247					
231	aClass445_5248					
952	aClass445_5249					
4	aClass445_5054					
833	aClass445_5251					
440	aClass445_5252					
669	aClass445_5253					
696	aClass445_5511					
438	aClass445_5255					
247	aClass445_5256					
547	aClass445_5257					
335	aClass445_5258					
571	aClass445_5259					
33	aClass445_5260					
825	aClass445_4631					
307	aClass445_5262					
883	aClass445_4996					
663	aClass445_5264					
791	aClass445_5265					
855	aClass445_5266					
97	aClass445_4741					
903	aClass445_5268					
659	aClass445_5389					
858	aClass445_5270					
499	aClass445_5271					
954	aClass445_5333					
524	aClass445_5273					
757	aClass445_5274					
56	aClass445_5486					
168	aClass445_5276					
367	aClass445_5277					
890	aClass445_5301					
860	aClass445_4835					
555	aClass445_5280					
716	aClass445_5281					
341	aClass445_5015					
755	aClass445_5283					
803	aClass445_5487					
697	aClass445_5285					
404	aClass445_4645					
656	aClass445_5287					
904	aClass445_5465					
329	aClass445_5289					
662	aClass445_5261					
432	aClass445_5291					
613	aClass445_5292					
595	aClass445_5529					
188	aClass445_5294					
410	aClass445_5295					
763	aClass445_5539					
749	aClass445_5297					
279	aClass445_5461					
5	aClass445_5299					
195	aClass445_5300					
369	aClass445_5021					
576	aClass445_5302					
351	aClass445_5050					
616	aClass445_5304					
102	aClass445_5305					
1032	aClass445_5306					
256	aClass445_5537					
314	aClass445_5298					
39	aClass445_5309					
200	aClass445_5310					
345	aClass445_5311					
734	aClass445_5312					
536	aClass445_5313					
569	aClass445_5172					
965	aClass445_5315					
133	aClass445_5316					
342	aClass445_5317					
330	aClass445_5318					
667	aClass445_4720					
637	aClass445_5538					
131	aClass445_5321					
234	aClass445_5322					
850	aClass445_5319					
50	aClass445_5324					
780	aClass445_5223					
529	aClass445_5326					
376	aClass445_5327					
523	aClass445_4948					
197	aClass445_5493					
886	aClass445_5330					
1031	aClass445_5331					
740	aClass445_5503					
132	aClass445_4513					
948	aClass445_5334					
313	aClass445_5157					
866	aClass445_5336					
78	aClass445_5337					
773	aClass445_4966					
521	aClass445_4804					
344	aClass445_5340					
227	aClass445_5149					
175	aClass445_5001					
709	aClass445_5494					
382	aClass445_5344					
484	aClass445_4834					
624	aClass445_5346					
284	aClass445_5430					
167	aClass445_5348					
11	aClass445_5349					
407	aClass445_5286					
804	aClass445_5351					
892	aClass445_4862					
922	aClass445_5353					
506	aClass445_5354					
203	aClass445_4585					
879	aClass445_5415					
453	aClass445_5357					
549	aClass445_5358					
1002	aClass445_5482					
534	aClass445_5360					
795	aClass445_5361					
505	aClass445_5362					
1034	aClass445_5363					
941	aClass445_5521					
748	aClass445_4569					
807	aClass445_5366					
936	aClass445_5367					
908	aClass445_4595					
210	aClass445_5369					
35	aClass445_4497					
557	aClass445_5022					
67	aClass445_5517					
651	aClass445_5458					
596	aClass445_5374					
760	aClass445_5375					
906	aClass445_5376					
684	aClass445_5377					
707	aClass445_5370					
306	aClass445_5379					
884	aClass445_5359					
834	aClass445_5381					
630	aClass445_4833					
990	aClass445_5383					
245	aClass445_5384					
738	aClass445_4560					
164	aClass445_5386					
386	aClass445_5182					
374	aClass445_5388					
783	aClass445_5142					
113	aClass445_5390					
265	aClass445_5025					
742	aClass445_5392					
70	aClass445_4802					
13	aClass445_4879					
80	aClass445_5395					
117	aClass445_5396					
157	aClass445_5397					
542	aClass445_5398					
343	aClass445_5399					
675	aClass445_5400					
710	aClass445_5401					
322	aClass445_5402					
179	aClass445_5403					
303	aClass445_5404					
205	aClass445_5405					
426	aClass445_4796					
653	aClass445_4997					
500	aClass445_5408					
1018	aClass445_5476					
340	aClass445_5410					
615	aClass445_5411					
120	aClass445_4555					
229	aClass445_5413					
973	aClass445_5414					
538	aClass445_4871					
947	aClass445_4521					
966	aClass445_5417					
867	aClass445_5378					
58	aClass445_5419					
150	aClass445_5420					
977	aClass445_5421					
894	aClass445_5089					
8	aClass445_5423					
759	aClass445_5424					
264	aClass445_5425					
856	aClass445_5426					
1029	aClass445_5427					
999	aClass445_5428					
124	aClass445_5429					
1033	aClass445_4636					
811	aClass445_5496					
447	aClass445_5194					
45	aClass445_5433					
726	aClass445_5434					
540	aClass445_5435					
796	aClass445_5436					
6	aClass445_5437					
199	aClass445_4715					
409	aClass445_5439					
683	aClass445_5192					
836	aClass445_4934					
299	aClass445_4976					
708	aClass445_5443					
985	aClass445_4926					
531	aClass445_4915					
276	aClass445_5446					
74	aClass445_5447					
926	aClass445_4905					
21	aClass445_5449					
474	aClass445_5450					
98	aClass445_5451					
230	aClass445_5180					
488	aClass445_5453					
1020	aClass445_5454					
518	aClass445_5455					
116	aClass445_5456					
77	aClass445_5457					
29	aClass445_5153					
920	aClass445_5459					
258	aClass445_5460					
65	aClass445_5217					
975	aClass445_5462					
989	aClass445_5463					
995	aClass445_5464					
486	aClass445_4728					
184	aClass445_5466					
967	aClass445_5467					
751	aClass445_5468					
916	aClass445_5469					
635	aClass445_5470					
687	aClass445_5471					
655	aClass445_5472					
358	aClass445_4757					
872	aClass445_5474					
723	aClass445_5409					
982	aClass445_4942					
293	aClass445_5477	I	I	WorldMap.areaExistsAtCoord(%1)	R	-
612	aClass445_5478					
699	aClass445_5479					
891	aClass445_4906					
873	aClass445_5481					
456	aClass445_4918					
418	aClass445_5483					
642	aClass445_5484					
24	aClass445_5485					
413	aClass445_4711					
140	aClass445_5372					
360	aClass445_5418					
784	aClass445_5343					
631	aClass445_5490					
52	aClass445_5491					
778	aClass445_4719					
1004	aClass445_5047					
598	aClass445_5445					
463	aClass445_5495					
516	aClass445_4646					
572	aClass445_5497					
956	aClass445_5498					
454	aClass445_4900					
711	aClass445_5500					
385	aClass445_5501					
27	aClass445_5502					
919	aClass445_4856					
643	aClass445_4861					
217	aClass445_5505					
192	aClass445_5525					
28	aClass445_5059					
182	aClass445_5508					
668	aClass445_5509					
581	aClass445_5510					
937	aClass445_4530					
267	aClass445_5512					
963	aClass445_5506					
492	aClass445_5137					
296	aClass445_5515					
771	aClass445_5012					
767	aClass445_5307					
618	aClass445_5518					
719	aClass445_5160					
253	aClass445_5520					
552	aClass445_4605					
782	aClass445_5522					
832	aClass445_5523					
945	aClass445_5524					
66	aClass445_4785					
583	aClass445_5526					
822	aClass445_4781					
724	aClass445_5528					
971	aClass445_4625					
570	aClass445_5530					
291	aClass445_5531					
444	aClass445_5532					
86	aClass445_5533					
119	aClass445_4865					
400	aClass445_5535					
743	aClass445_5536					
650	aClass445_4774					
625	aClass445_4621					
793	aClass445_5534					
1017	aClass445_5540					
578	aClass445_4687					
853	aClass445_4500					
